"Report Name: Client Center Import Report"
"Report Time: April 2015,April 2015"
"Time Zone: (GMT-05:00) Eastern Time (US & Canada)"
"Last Completed Available Day: 5/1/2015 9:00:00 AM (GMT)"
"Last Completed Available Hour: 5/1/2015 9:00:00 AM (GMT)"
"Report Aggregation: Month"
"Report Filter: "
"Rows: 606"

"Month","Campaign ID","Campaign name","Keyword","Clicks","Impressions","Avg. position","Average CPC","Spend","CTR (%)"
"April 2015","1189214","Synergy Networks","+search +engine +optimization","0","122","6.24","0.00","0.00","0.00"
"April 2015","1189214","Synergy Networks","+web +design","5","136","5.27","0.83","4.15","3.68"
"April 2015","1189214","Synergy Networks","bonita web design","0","1","1.00","0.00","0.00","0.00"
"April 2015","1189214","Synergy Networks","custom e-commerce websites","0","13","2.85","0.00","0.00","0.00"
"April 2015","1189214","Synergy Networks","custom shopping carts","0","4","1.25","0.00","0.00","0.00"
"April 2015","1189214","Synergy Networks","custom web design","1","28","2.00","2.56","2.56","3.57"
"April 2015","1189214","Synergy Networks","e-commerce","0","36","3.86","0.00","0.00","0.00"
"April 2015","1189214","Synergy Networks","fort myers web design","0","1","2.00","0.00","0.00","0.00"
"April 2015","1189214","Synergy Networks","internet marketing","1","201","1.29","5.61","5.61","0.50"
"April 2015","1189214","Synergy Networks","naples web design","1","19","1.05","1.88","1.88","5.26"
"April 2015","1189214","Synergy Networks","online marketing","1","90","1.89","2.89","2.89","1.11"
"April 2015","1189214","Synergy Networks","sarasota web design","0","1","2.00","0.00","0.00","0.00"
"April 2015","1189214","Synergy Networks","seo","0","32","2.88","0.00","0.00","0.00"
"April 2015","1189214","Synergy Networks","web development","0","18","3.17","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","baluster stair","0","5","1.80","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","banister for stairs","1","5","1.00","1.64","1.64","20.00"
"April 2015","3116646","Z - StairPartPros","box newel","0","7","1.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","box newels","0","3","1.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","iron balusters","1","53","2.47","1.22","1.22","1.89"
"April 2015","3116646","Z - StairPartPros","iron pickets","0","1","1.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","iron spindle","3","14","1.36","1.69","5.07","21.43"
"April 2015","3116646","Z - StairPartPros","iron stair spindles","0","2","2.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","oak banisters","0","1","1.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","oak handrails","0","3","2.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","red oak railing","0","16","1.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","stair banister","1","12","1.25","0.93","0.93","8.33"
"April 2015","3116646","Z - StairPartPros","stair banisters","3","22","1.68","0.82","2.45","13.64"
"April 2015","3116646","Z - StairPartPros","stair brackets","1","5","1.00","0.85","0.85","20.00"
"April 2015","3116646","Z - StairPartPros","stair handrail brackets","0","1","1.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","stair handrails","8","44","2.07","0.86","6.88","18.18"
"April 2015","3116646","Z - StairPartPros","stair newels","0","10","1.90","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","stair part","2","22","2.59","1.45","2.89","9.09"
"April 2015","3116646","Z - StairPartPros","stair parts","1","43","2.79","0.48","0.48","2.33"
"April 2015","3116646","Z - StairPartPros","stair picket","0","2","1.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","stair railings","35","331","2.13","1.26","44.20","10.57"
"April 2015","3116646","Z - StairPartPros","stair replacement parts","0","3","1.33","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","stair riser","0","8","4.88","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","stair risers","3","33","4.70","0.85","2.56","9.09"
"April 2015","3116646","Z - StairPartPros","stair spindle","3","26","1.35","1.48","4.44","11.54"
"April 2015","3116646","Z - StairPartPros","stair spindles","1","3","2.00","0.74","0.74","33.33"
"April 2015","3116646","Z - StairPartPros","starting steps","0","2","1.50","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wood baluster","0","10","2.50","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wood balusters","1","3","5.67","0.92","0.92","33.33"
"April 2015","3116646","Z - StairPartPros","wood balusters for stairs","0","1","2.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wood banisters","1","9","1.89","0.98","0.98","11.11"
"April 2015","3116646","Z - StairPartPros","wood hand railing","0","1","1.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wood handrails","2","6","1.67","0.86","1.71","33.33"
"April 2015","3116646","Z - StairPartPros","wood newel","0","3","1.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wood picket","1","24","1.33","0.80","0.80","4.17"
"April 2015","3116646","Z - StairPartPros","wood pickets","1","5","1.20","0.62","0.62","20.00"
"April 2015","3116646","Z - StairPartPros","wood railings","2","20","2.50","0.96","1.92","10.00"
"April 2015","3116646","Z - StairPartPros","wood spindle","0","13","2.85","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wood spindles","0","2","2.50","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wood stair  handrails","0","3","1.67","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wood stair baluster","1","2","2.00","0.94","0.94","50.00"
"April 2015","3116646","Z - StairPartPros","wood stair balusters","0","5","2.20","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wood stair parts","3","2","1.50","2.00","6.01","150.00"
"April 2015","3116646","Z - StairPartPros","wood stair railings","4","12","2.17","1.01","4.04","33.33"
"April 2015","3116646","Z - StairPartPros","wood stair risers","0","1","2.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wood stair spindle","0","1","1.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wooden handrails","3","15","1.80","0.68","2.04","20.00"
"April 2015","3116646","Z - StairPartPros","wooden spindle","1","3","4.67","0.30","0.30","33.33"
"April 2015","3116646","Z - StairPartPros","wooden stair parts","0","1","3.00","0.00","0.00","0.00"
"April 2015","3116646","Z - StairPartPros","wrought iron balusters","0","7","2.43","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","+beginner +pianos","0","3","1.00","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","+roland +organ","1","1","1.00","1.22","1.22","100.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","baby grand piano","0","15","1.00","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","baby grand piano price","5","54","1.00","5.25","26.23","9.26"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","baby grand piano sale","1","11","1.00","8.43","8.43","9.09"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","baby grand piano used","0","11","1.09","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","baby grand pianos","7","99","1.00","3.07","21.48","7.07"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","Beginner Piano","0","2","1.00","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","beginner piano lessons","0","2","1.00","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","best digital pianos","1","29","1.00","4.68","4.68","3.45"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","best electric piano","3","108","1.04","10.59","31.76","2.78"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","buying a grand piano","1","20","1.10","3.17","3.17","5.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","Digital Piano","0","20","1.05","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","digital piano 88","0","27","1.11","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","digital piano sale","0","9","1.00","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","digital piano store","2","23","1.00","3.54","7.07","8.70"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","digital piano stores","1","18","1.00","2.13","2.13","5.56"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","digital pianos","1","36","1.03","2.46","2.46","2.78"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","digital pianos with weighted keys","0","29","1.00","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","electric piano for sale","1","9","1.00","5.96","5.96","11.11"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","electric piano sale","1","21","1.29","8.46","8.46","4.76"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","electric pianos","0","70","1.07","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","grand piano","3","46","1.35","1.27","3.80","6.52"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","grand piano sales","8","70","1.00","3.45","27.63","11.43"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","grand pianos prices","2","22","1.00","4.88","9.76","9.09"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","group music lessons","5","32","1.38","2.47","12.35","15.63"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","keyboard lessons","1","4","1.00","0.36","0.36","25.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","music books","0","6","1.33","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","new digital pianos","4","41","1.00","2.19","8.77","9.76"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","new pianos","4","63","1.08","5.38","21.50","6.35"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","pearl river pianos","0","1","1.00","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","piano for sale","4","81","1.14","2.32","9.29","4.94"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","piano lessons","3","68","2.28","0.86","2.59","4.41"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","piano lessons for children","0","2","1.00","0.00","0.00","0.00"
