Name,Automatic placement performance (domain) report CSV
Type,Automatic placement (domain)
Frequency,One time
Date range,Last month
Dates,"May 1, 2015-May 31, 2015"
Account,Domain,Customer ID,Clicks,Impressions,Campaign,Special category
Z-Stair Part Pros,morewords.com,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,yourdailyjournal.com,304-521-3327,0,8,Wrought Iron Search, --
Z-Stair Part Pros,anonymous.google,304-521-3327,1,745,Wrought Iron Search, --
Z-Stair Part Pros,idealistrevolution.org,304-521-3327,0,8,Wrought Iron Search, --
Z-Stair Part Pros,constancebannister.com,304-521-3327,0,5,Wrought Iron Search,Parked domains
Z-Stair Part Pros,midwestliving.com,304-521-3327,0,21,Wrought Iron Search, --
Z-Stair Part Pros,forgedirontraining.com,304-521-3327,1,2,Wrought Iron Search,Parked domains
Z-Stair Part Pros,gamepedia.com,304-521-3327,0,79,Wrought Iron Search, --
Z-Stair Part Pros,offgridquest.com,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,pronto.com,304-521-3327,1,1,Wrought Iron Search, --
Z-Stair Part Pros,architecturendesign.net,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,metal-vinyl-art.com,304-521-3327,0,9,Wrought Iron Search,Parked domains
Z-Stair Part Pros,ink361.com,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,word.com,304-521-3327,1,13,Wrought Iron Search, --
Z-Stair Part Pros,gatesofdistinction.com,304-521-3327,0,13,Wrought Iron Search,Parked domains
Z-Stair Part Pros,anvilfire.com,304-521-3327,0,20,Wrought Iron Search, --
Z-Stair Part Pros,upthestairsfl.com,304-521-3327,0,23,Wrought Iron Search,Parked domains
Z-Stair Part Pros,minecraftinfo.com,304-521-3327,0,6,Wrought Iron Search, --
Z-Stair Part Pros,travelsmrt.com,304-521-3327,0,6,Wrought Iron Search, --
Z-Stair Part Pros,getdecorating.com,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,wikia.com,304-521-3327,0,9,Wrought Iron Search, --
Z-Stair Part Pros,wikidee.org,304-521-3327,1,9,Wrought Iron Search, --
Z-Stair Part Pros,auctionzip.com,304-521-3327,0,8,Wrought Iron Search, --
Z-Stair Part Pros,wsbtv.com,304-521-3327,0,11,Wrought Iron Search, --
Z-Stair Part Pros,crosswordtracker.com,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,cc.com,304-521-3327,0,20,Wrought Iron Search, --
Z-Stair Part Pros,djpaulyd.com,304-521-3327,0,110,Wrought Iron Search, --
Z-Stair Part Pros,artisticmetaldesign.com,304-521-3327,0,5,Wrought Iron Search,Parked domains
Z-Stair Part Pros,ajc.com,304-521-3327,1,16,Wrought Iron Search, --
Z-Stair Part Pros,shape.com,304-521-3327,0,38,Wrought Iron Search, --
Z-Stair Part Pros,weefolkart.com,304-521-3327,0,6,Wrought Iron Search, --
Z-Stair Part Pros,decoist.com,304-521-3327,0,41,Wrought Iron Search, --
Z-Stair Part Pros,southernliving.com,304-521-3327,1,3,Wrought Iron Search, --
Z-Stair Part Pros,insidegrind.com,304-521-3327,43,3751,Wrought Iron Search, --
Z-Stair Part Pros,dailymail.co.uk,304-521-3327,0,10,Wrought Iron Search, --
Z-Stair Part Pros,thestairguy.com,304-521-3327,0,9,Wrought Iron Search,Parked domains
Z-Stair Part Pros,viralands.com,304-521-3327,0,100,Wrought Iron Search, --
Z-Stair Part Pros,stairone.com,304-521-3327,0,5,Wrought Iron Search,Parked domains
Z-Stair Part Pros,wsbradio.com,304-521-3327,0,7,Wrought Iron Search, --
Z-Stair Part Pros,sboki.com,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,bhg.com,304-521-3327,0,12,Wrought Iron Search, --
Z-Stair Part Pros,sliptalk.com,304-521-3327,0,7,Wrought Iron Search, --
Z-Stair Part Pros,instructables.com,304-521-3327,0,6,Wrought Iron Search, --
Z-Stair Part Pros,kirotv.com,304-521-3327,0,11,Wrought Iron Search, --
Z-Stair Part Pros,porchrailings.org,304-521-3327,1,1,Wrought Iron Search, --
Z-Stair Part Pros,styliwall.com,304-521-3327,0,14,Wrought Iron Search,Parked domains
Z-Stair Part Pros,thefreedictionary.com,304-521-3327,0,20,Wrought Iron Search, --
Z-Stair Part Pros,freevampires.com,304-521-3327,0,7,Wrought Iron Search, --
Z-Stair Part Pros,need-read.com,304-521-3327,0,7,Wrought Iron Search, --
Z-Stair Part Pros,homestratosphere.com,304-521-3327,1,1,Wrought Iron Search, --
Z-Stair Part Pros,architectural-design.info,304-521-3327,0,44,Wrought Iron Search, --
Z-Stair Part Pros,carls-sims-3-guide.com,304-521-3327,0,7,Wrought Iron Search, --
Z-Stair Part Pros,decorhomeideasbest.com,304-521-3327,0,7,Wrought Iron Search, --
